,hash,offset_difference,song_id
49,17e930f2cbd516a35288f4a2687e34,-383,5f7d91449fcf6858e3cae19b
50,5a5073a26c5f9845153b6658a5b3bb,-383,5f7d91449fcf6858e3cae19b
51,076ebfbee2dbaa98577707f7bb5e3d,-383,5f7d91449fcf6858e3cae19b
52,2155afdbd74f68b04355ddb3290df5,-383,5f7d91449fcf6858e3cae19b
53,6e1b2aa6779406397cbfccb073c612,-383,5f7d91449fcf6858e3cae19b
54,ba2363e274e22d3c61d6dbe1dc71b6,-383,5f7d91449fcf6858e3cae19b
55,1a814120c38efb492b232867daedce,-383,5f7d91449fcf6858e3cae19b
56,34132044c83802d97de6b23fb4e96a,-383,5f7d91449fcf6858e3cae19b
57,d829c6c0c5e14cab440edc678364d2,-382,5f7d91449fcf6858e3cae19b
58,9917287c727e6d3ae19aa93e582572,-610,5f7d91449fcf6858e3cae19b
59,61ee032270cec32149d972b6c41d24,-383,5f7d91449fcf6858e3cae19b
60,077c2244f9427e18f5189b0fc68cf5,-383,5f7d91449fcf6858e3cae19b
61,a87bd1e998146176455f0401844b58,-383,5f7d91449fcf6858e3cae19b
62,f25845de06071baaa4da16bba0e888,-383,5f7d91449fcf6858e3cae19b
63,0fae577fea1cdf387a67524071e217,-383,5f7d91449fcf6858e3cae19b
64,a5012b21ab8536dd7cc0304a865305,-383,5f7d91449fcf6858e3cae19b
65,da2ebaa3c35fee137bab43390879b8,-4926,5f7d91449fcf6858e3cae19b
66,c2aa9291063bf02c788a828d3634a5,-383,5f7d91449fcf6858e3cae19b
67,39dffb01213575577b9e64e0e6c200,-383,5f7d91449fcf6858e3cae19b
68,220b87aabf40ffaf43643160aa65bb,-383,5f7d91449fcf6858e3cae19b
69,b50e9168b2619a784514f755c0aa22,-383,5f7d91449fcf6858e3cae19b
70,a9722faa2c8038cd51fad5baefa3e1,-383,5f7d91449fcf6858e3cae19b
71,37dfa4869cb71cd3443ac2a33c0c56,-383,5f7d91449fcf6858e3cae19b
72,b04ca7ed4c301004ecca51b7fb45cb,-383,5f7d91449fcf6858e3cae19b
73,fc506fbf095d48563a5c335ee8f8d2,-383,5f7d91449fcf6858e3cae19b
74,cfe910af246c94ce522d49fe63de24,-383,5f7d91449fcf6858e3cae19b
75,cb14184d213e4655ecee3950e3593a,-383,5f7d91449fcf6858e3cae19b
76,fe91112241ad932f75ab2837e7b35b,-383,5f7d91449fcf6858e3cae19b
77,cf8b0862e285a5bd338c9f1f5cae6f,-383,5f7d91449fcf6858e3cae19b
78,4e8a48da87417ad66f904cfa1bbcb9,-383,5f7d91449fcf6858e3cae19b
79,b5ea715d4b8457aac9cd5e3275e524,-383,5f7d91449fcf6858e3cae19b
80,a3851fc56a4d974b900dceb47337c3,-383,5f7d91449fcf6858e3cae19b
81,f1fabcb8c1e2d5eb9c451dbdeaecf6,-2489,5f7d91449fcf6858e3cae19b
82,ba466b04036a0cdd02d4dd274b4319,-383,5f7d91449fcf6858e3cae19b
83,aece170013e8e4d1cbb9571579ba01,-383,5f7d91449fcf6858e3cae19b
84,cddca530e5ca0dd63a131604bdb149,-383,5f7d91449fcf6858e3cae19b
85,a24b4c12fd456d19b8f7b484b8b7d7,-383,5f7d91449fcf6858e3cae19b
86,d7a7ed756a5ec6c02fe196c76465a6,-383,5f7d91449fcf6858e3cae19b
87,a01b0b1c5680d127ad959b587f2a73,-383,5f7d91449fcf6858e3cae19b
88,7cb814cc6dd1da52ed11e0ed288401,-1261,5f7d934a37d3e67dcca32480
89,79a6db925d99bac16c74d27182479d,-2485,5f7d91449fcf6858e3cae19b
90,4e78c43c6c9cab491ba5e0aff5a043,-383,5f7d91449fcf6858e3cae19b
91,d60f28a2fe89e44e9bd2fa986bb2e0,-383,5f7d91449fcf6858e3cae19b
92,d4e9b8f8d188140bd19ee7068470cf,-4926,5f7d91449fcf6858e3cae19b
93,d4e9b8f8d188140bd19ee7068470cf,-2655,5f7d91449fcf6858e3cae19b
94,9edcad4dc2c5c8c08436a93c823102,-2029,5f7d91449fcf6858e3cae19b
